,Assembly Accession,Organism Name,Assembly BioSample Host,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Description Comment,Annotation BUSCO Complete,Annotation Count Gene Total,Annotation Method,Assembly Assembly Method,Assembly BioSample Accession,Assembly BioSample Strain,Assembly BioSample Sub-species,Assembly BioSample Tissue,Assembly Level,Assembly Stats Contig L50,Assembly Stats Contig N50,Assembly Stats Gaps Between Scaffolds Count,Assembly Stats GC Percent,Assembly Stats Genome Coverage,Assembly Stats Number of Contigs,Assembly Stats Number of Scaffolds,CheckM completeness,CheckM contamination,CheckM version,Assembly BioProject Accession,Assembly BioSample Age,host_text,cleaned_host,isolation_source,genome.assembly_accession,genome.isolation_comments,genome.isolation_country,genome.isolation_site,genome.isolation_source,genome.host_age,genome.host_common_name,genome.host_gender,genome.host_group,genome.host_health,genome.host_name,genome.host_scientific_name
806,GCA_007826355.1,Staphylococcus aureus,homo sapiens,pus aspirate,,,,2785,Best-placed reference protein set; GeneMarkS-2+,HGAP v. 4,SAMN12046023,NP66,,,Complete Genome,1,2752396,,33.0,273.0,1,1,98.43,0.39,v1.2.4,PRJNA548666,,homo sapiens | pus aspirate,human,pus aspirate,GCA_007826355.1,,South Africa,,Pus aspirate,,Human,,Human,carriage,"Human, Homo sapiens",Homo sapiens
807,GCA_007827105.1,Staphylococcus aureus,,retail beef,,,,2964,Best-placed reference protein set; GeneMarkS-2+,CLC genomic workbench v. 7,SAMN12353684,B1-4A,,,Chromosome,1,2745835,,33.0,269.0,33,33,98.39,0.4,v1.2.3,PRJNA555718,,retail beef,food,,GCA_007827105.1,,USA,,retail beef,,,,,,,
808,GCA_007827115.1,Staphylococcus aureus,,retail pork,,,,2811,Best-placed reference protein set; GeneMarkS-2+,CLC Genomic workbench v. 7,SAMN12359204,B9-22D,,,Chromosome,1,2703684,,33.0,105.15,26,26,98.17,0.45,v1.2.3,PRJNA555718,,retail pork,food,,GCA_007827115.1,,USA,,retail pork,,,,,,,
809,GCA_007827125.1,Staphylococcus aureus,,retail beef liver,,,,2968,Best-placed reference protein set; GeneMarkS-2+,CLC genomic workbench v. 7,SAMN12353687,B3-4A,,,Chromosome,1,2747092,,33.0,119.61,35,35,98.47,0.4,v1.2.3,PRJNA555718,,retail beef liver,food,,GCA_007827125.1,,USA,,retail beef liver,,,,,,,
810,GCA_007954445.1,Staphylococcus aureus,homo sapiens,"tricuspid valve, anterior leaflet",,,,2937,Best-placed reference protein set; GeneMarkS-2+,Unicycler v. v0.4.2,SAMN12476135,BSN9S,,,Complete Genome,1,2832989,,32.5,842.0,2,2,97.1,0.41,v1.2.4,PRJNA544229,,"homo sapiens | tricuspid valve, anterior leaflet",human,"tricuspid valve, anterior leaflet",GCA_007954445.1,,USA,,heart valve,45,Human,Female,Human,Infective Endocarditis,"Human, Homo sapiens",Homo sapiens
811,GCA_007954465.1,Staphylococcus aureus,homo sapiens,"tricuspid valve, septal leaflet",,,,2937,Best-placed reference protein set; GeneMarkS-2+,Unicycler v. v0.4.2,SAMN12476193,BSN9R,,,Complete Genome,1,2832989,,32.5,842.0,2,2,97.1,0.41,v1.2.4,PRJNA544229,,"homo sapiens | tricuspid valve, septal leaflet",human,"tricuspid valve, septal leaflet",GCA_007954465.1,,USA,,heart valve,45,Human,Female,Human,Infective Endocarditis,"Human, Homo sapiens",Homo sapiens
812,GCA_008244705.1,Staphylococcus aureus,homo sapiens,,,,,2965,Best-placed reference protein set; GeneMarkS-2+,HGAP v. 2.0,SAMN11157689,NRS384,,,Complete Genome,1,2879031,,33.0,31.0,3,3,97.99,0.39,v1.2.4,PRJNA527676,,homo sapiens,human,,GCA_008244705.1,,USA,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
813,GCA_008244725.1,Staphylococcus aureus,,,,"rifampicin resistant mutant rpob-h481n of nrs384-wt-uom, normal colony variant",,2965,Best-placed reference protein set; GeneMarkS-2+,HGAP v. 2.0,SAMN11157607,NRS384-rpoB-H481N-NCV,,,Complete Genome,1,2879031,,33.0,99.0,3,3,97.99,0.39,v1.2.3,PRJNA527676,,"rifampicin resistant mutant rpob-h481n of nrs384-wt-uom, normal colony variant",,,GCA_008244725.1,,Australia,,,,,,,,,
814,GCA_008244745.1,Staphylococcus aureus,,,,"rifampicin resistant mutant rpob-h481n of nrs384-wt-uom, small colony variant",,2965,Best-placed reference protein set; GeneMarkS-2+,HGAP v. 2.0,SAMN11157690,NRS384-rpoB-H481N-SCV,,,Complete Genome,1,2879031,,33.0,79.0,3,3,97.99,0.39,v1.2.4,PRJNA527676,,"rifampicin resistant mutant rpob-h481n of nrs384-wt-uom, small colony variant",,,GCA_008244745.1,,Australia,,,,,,,,,
815,GCA_008329865.1,Staphylococcus aureus,homo sapiens,nasal perirectal swab,,,,3051,Best-placed reference protein set; GeneMarkS+,HGAP v. 3,SAMN09882578,CFSAN082782,,,Complete Genome,1,2866342,,32.5,300.0,2,2,97.4,0.39,v1.2.4,PRJNA278886,,homo sapiens | nasal perirectal swab,human,nasal perirectal swab,GCA_008329865.1,,USA,,nasal perirectal swab,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
816,GCA_008329885.1,Staphylococcus aureus,homo sapiens,nasal perirectal swab,,,,3051,Best-placed reference protein set; GeneMarkS+,HGAP v. 3,SAMN09882579,CFSAN082781,,,Complete Genome,1,2866354,,32.5,210.0,2,2,97.4,0.39,v1.2.3,PRJNA278886,,homo sapiens | nasal perirectal swab,human,nasal perirectal swab,GCA_008329885.1,,USA,,nasal perirectal swab,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
817,GCA_008330045.1,Staphylococcus aureus,homo sapiens,blood,,,,2963,Best-placed reference protein set; GeneMarkS-2+,Canu v. 1.6; Unicycler v. 0.4.7,SAMN11431687,VGC1,,,Complete Genome,1,2857169,,33.0,445.0,3,3,98.71,0.39,v1.2.4,PRJNA533010,,homo sapiens | blood,human,blood,GCA_008330045.1,,Taiwan,,blood,17,Human,Male,Human,Pneumonia and Bacteremia,"Human, Homo sapiens",Homo sapiens
818,GCA_008330585.1,Staphylococcus aureus,homo sapiens,wound,,,,2903,Best-placed reference protein set; GeneMarkS+,HGAP v. 3,SAMN09882580,CFSAN082783,,,Complete Genome,1,2749000,,33.0,170.0,2,2,97.41,0.77,v1.2.3,PRJNA278886,,homo sapiens | wound,human,wound,GCA_008330585.1,,USA,,wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
819,GCA_008370795.1,Staphylococcus aureus,homo sapiens,,,,,3043,Best-placed reference protein set; GeneMarkS-2+,Unicycler v. 0.4.6,SAMN12325109,16439,,,Chromosome,1,2915532,,33.0,138.0,2,2,98.85,0.66,v1.2.3,PRJNA555368,,homo sapiens,human,,GCA_008370795.1,,USA,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
820,GCA_008370815.1,Staphylococcus aureus,homo sapiens,,,,,3115,Best-placed reference protein set; GeneMarkS-2+,Unicycler v. 0.4.6,SAMN12325110,16445,,,Complete Genome,1,2940576,,33.0,113.0,2,2,98.2,1.26,v1.2.4,PRJNA555368,,homo sapiens,human,,GCA_008370815.1,,USA,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
821,GCA_008462245.1,Staphylococcus aureus,homo sapiens,,,,,2915,Best-placed reference protein set; GeneMarkS-2+,HGAP v. 2,SAMN11611367,GD1706,,,Complete Genome,1,2876350,,33.0,,1,1,97.97,0.34,v1.2.3,PRJNA542127,,homo sapiens,human,,GCA_008462245.1,,China,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
822,GCA_008619075.1,Staphylococcus aureus,homo sapiens,,,keywords: gsc:mixs;migs:6.0,,2817,,Unicycler v. 0.4.7b,SAMD00180470,KUN1163,,,Complete Genome,1,2914567,,33.0,274.0,2,2,98.57,0.39,v1.2.3,PRJDB8599,,homo sapiens | keywords: gsc:mixs;migs:6.0,human,keywords: gsc:mixs;migs:6.0,GCA_008619075.1,isolated account for more than 60% of clinical?S,Japan,,Sputum isolated from host,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
823,GCA_008619235.1,Staphylococcus aureus,homo sapiens,,,keywords: gsc:mixs;migs:6.0,,2687,,Unicycler v. 0.4.7b,SAMD00180471,KUH140013,,,Complete Genome,1,2804820,,32.5,351.0,2,2,98.62,1.27,v1.2.3,PRJDB8599,,homo sapiens | keywords: gsc:mixs;migs:6.0,human,keywords: gsc:mixs;migs:6.0,GCA_008619235.1,isolated account for more than 60% of clinical?S,Japan,,Sputum isolated from host,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
824,GCA_008619415.1,Staphylococcus aureus,homo sapiens,,,keywords: gsc:mixs;migs:6.0,,2708,,Unicycler v. 0.4.7b,SAMD00180472,KUH140046,,,Complete Genome,1,2825163,,32.5,360.0,2,2,98.27,0.39,v1.2.3,PRJDB8599,,homo sapiens | keywords: gsc:mixs;migs:6.0,human,keywords: gsc:mixs;migs:6.0,GCA_008619415.1,isolated account for more than 60% of clinical?S,Japan,,Nasal cavity isolated from host,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
825,GCA_008619595.1,Staphylococcus aureus,homo sapiens,,,keywords: gsc:mixs;migs:6.0,,2592,,Unicycler v. 0.4.7b,SAMD00180473,KUH140087,,,Complete Genome,1,2761631,,32.5,330.0,1,1,96.85,1.02,v1.2.0,PRJDB8599,,homo sapiens | keywords: gsc:mixs;migs:6.0,human,keywords: gsc:mixs;migs:6.0,GCA_008619595.1,isolated account for more than 60% of clinical?S,Japan,,Venous blood isolated from host,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
826,GCA_008619795.1,Staphylococcus aureus,homo sapiens,,,keywords: gsc:mixs;migs:6.0,,2597,,Unicycler v. 0.4.7b,SAMD00180474,KUH140331,,,Complete Genome,1,2751401,,33.0,283.0,2,2,98.72,0.39,v1.2.3,PRJDB8599,,homo sapiens | keywords: gsc:mixs;migs:6.0,human,keywords: gsc:mixs;migs:6.0,GCA_008619795.1,isolated account for more than 60% of clinical?S,Japan,,Venous blood isolated from host,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
827,GCA_008619935.1,Staphylococcus aureus,homo sapiens,,,keywords: gsc:mixs;migs:6.0,,2707,,Unicycler v. 0.4.7b,SAMD00180475,KUH180038,,,Complete Genome,1,2822409,,32.5,406.0,2,2,98.43,0.39,v1.2.3,PRJDB8599,,homo sapiens | keywords: gsc:mixs;migs:6.0,human,keywords: gsc:mixs;migs:6.0,GCA_008619935.1,isolated account for more than 60% of clinical?S,Japan,,Pus isolated from host,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
828,GCA_008620055.1,Staphylococcus aureus,homo sapiens,,,keywords: gsc:mixs;migs:6.0,,2835,,Unicycler v. 0.4.7b,SAMD00180476,KUH180062,,,Complete Genome,1,2939465,,33.0,394.0,2,2,98.44,0.39,v1.2.3,PRJDB8599,,homo sapiens | keywords: gsc:mixs;migs:6.0,human,keywords: gsc:mixs;migs:6.0,GCA_008620055.1,isolated account for more than 60% of clinical?S,Japan,,Sputum isolated from host,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
829,GCA_008620175.1,Staphylococcus aureus,homo sapiens,,,keywords: gsc:mixs;migs:6.0,,2784,,Unicycler v. 0.4.7b,SAMD00180477,KUH180129,,,Complete Genome,1,2876735,,33.0,280.0,2,2,98.46,0.39,v1.2.4,PRJDB8599,,homo sapiens | keywords: gsc:mixs;migs:6.0,human,keywords: gsc:mixs;migs:6.0,GCA_008620175.1,isolated account for more than 60% of clinical?S,Japan,,Venous blood isolated from host,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
830,GCA_008630675.1,Staphylococcus aureus,homo sapiens,hospital,,,,2685,Best-placed reference protein set; GeneMarkS-2+,Geneious Prime v. Geneious Prime v 2019.2.1,SAMN12722008,GHA13,,,Chromosome,2,632171,,32.5,352.0,8,1,97.46,0.3,v1.2.3,PRJNA564764,,homo sapiens | hospital,human,hospital,GCA_008630675.1,,Ghana,,hospital,,Human,,Human,Skin and soft tissue infections,"Human, Homo sapiens",Homo sapiens
831,GCA_008630715.1,Staphylococcus aureus,homo sapiens,hospital,,,,2733,Best-placed reference protein set; GeneMarkS-2+,Geneious Prime v. Geneious Prime v 2019.2.1,SAMN12722006,GHA11,,,Chromosome,4,302324,,33.0,175.0,19,1,97.98,0.54,v1.2.3,PRJNA564764,,homo sapiens | hospital,human,hospital,GCA_008630715.1,,Ghana,,hospital,,Human,,Human,Skin and soft tissue infections,"Human, Homo sapiens",Homo sapiens
832,GCA_008630735.1,Staphylococcus aureus,homo sapiens,hospital,,,,2687,Best-placed reference protein set; GeneMarkS-2+,Geneious Prime v. Geneious Prime v 2019.2.1,SAMN12722004,GHA9,,,Chromosome,2,681084,,32.5,74.0,5,1,96.97,0.3,v1.2.3,PRJNA564764,,homo sapiens | hospital,human,hospital,GCA_008630735.1,,Ghana,,hospital,,Human,,Human,Skin and soft tissue infections,"Human, Homo sapiens",Homo sapiens
833,GCA_008630755.1,Staphylococcus aureus,homo sapiens,hospital,,,,2730,Best-placed reference protein set; GeneMarkS-2+,Geneious Prime v. Geneious Prime v 2019.2.1,SAMN12722001,GHA6,,,Chromosome,2,798685,,33.0,554.0,6,1,98.28,0.39,v1.2.3,PRJNA564764,,homo sapiens | hospital,human,hospital,GCA_008630755.1,,Ghana,,hospital,,Human,,Human,Skin and soft tissue infections,"Human, Homo sapiens",Homo sapiens
834,GCA_008630815.1,Staphylococcus aureus,homo sapiens,hospital,,,,2620,Best-placed reference protein set; GeneMarkS-2+,Geneious Prime v. Geneious Prime v 2019.2.1,SAMN12722002,GHA7,,,Chromosome,2,970503,,32.5,551.0,8,1,97.29,0.3,v1.2.3,PRJNA564764,,homo sapiens | hospital,human,hospital,GCA_008630815.1,,Ghana,,hospital,,Human,,Human,Skin and soft tissue infections,"Human, Homo sapiens",Homo sapiens
835,GCA_008630835.1,Staphylococcus aureus,homo sapiens,hospital,,,,2756,Best-placed reference protein set; GeneMarkS-2+,Geneious Prime v. Geneious Prime v 2019.2.1,SAMN12721998,GHA3,,,Chromosome,2,798674,,33.0,208.0,13,1,98.28,0.39,v1.2.3,PRJNA564764,,homo sapiens | hospital,human,hospital,GCA_008630835.1,,Ghana,,hospital,,Human,,Human,Skin and soft tissue infections,"Human, Homo sapiens",Homo sapiens
836,GCA_008630855.1,Staphylococcus aureus,homo sapiens,hospital,,,,2765,Best-placed reference protein set; GeneMarkS-2+,Geneious Prime v. Geneious Prime v 2019.2.1,SAMN12721997,GHA2,,,Chromosome,2,565843,,33.0,379.0,23,1,98.64,0.39,v1.2.3,PRJNA564764,,homo sapiens | hospital,human,hospital,GCA_008630855.1,,Ghana,,hospital,,Human,,Human,Skin and soft tissue infections,"Human, Homo sapiens",Homo sapiens
837,GCA_008630875.1,Staphylococcus aureus,homo sapiens,hospital,,,,2781,Best-placed reference protein set; GeneMarkS-2+,Geneious Prime v. Geneious Prime v 2019.2.1,SAMN12721996,GHA1,,,Chromosome,3,450520,,33.0,441.0,33,1,98.48,0.39,v1.2.3,PRJNA564764,,homo sapiens | hospital,human,hospital,GCA_008630875.1,,Ghana,,hospital,,Human,,Human,Skin and soft tissue infections,"Human, Homo sapiens",Homo sapiens
838,GCA_008693765.1,Staphylococcus aureus,homo sapiens,clinical isolate,,,,2897,Best-placed reference protein set; GeneMarkS-2+,"SMRT v. 2.3.0, HGAP v. 3",SAMN11056375,FDAARGOS_660,,,Complete Genome,1,2848032,,33.0,1576.7,2,2,98.45,0.39,v1.2.3,PRJNA231221,,homo sapiens | clinical isolate,human,clinical isolate,GCA_008693765.1,,USA,,clinical isolate,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
839,GCA_008694145.1,Staphylococcus aureus,homo sapiens,hospital,,,,2780,Best-placed reference protein set; GeneMarkS-2+,Geneious Prime v. Geneious Prime v 2019.2.1,SAMN12722003,GHA8,,,Chromosome,3,431519,,33.0,612.0,20,1,98.78,0.39,v1.2.3,PRJNA564764,,homo sapiens | hospital,human,hospital,GCA_008694145.1,,Ghana,,hospital,,Human,,Human,Skin and soft tissue infections,"Human, Homo sapiens",Homo sapiens
840,GCA_008694165.1,Staphylococcus aureus,homo sapiens,hospital,,,,2733,Best-placed reference protein set; GeneMarkS-2+,Geneious Prime v. Geneious Prime v 2019.2.1,SAMN12722005,GHA10,,,Chromosome,2,679220,,33.0,233.0,15,1,98.8,0.39,v1.2.3,PRJNA564764,,homo sapiens | hospital,human,hospital,GCA_008694165.1,,Ghana,,hospital,,Human,,Human,Skin and soft tissue infections,"Human, Homo sapiens",Homo sapiens
841,GCA_009176765.1,Staphylococcus aureus,homo sapiens,,,keywords: gsc:mixs;migs:6.0,,2864,,Canu v. 1.4; minimap v. 0.2-r124; racon v. 1.1.0; circlator v. 1.5.3; Pilon v. 1.18; SPAdes v. 3.11.1; A5-miseq v. 20140604,SAMD00164374,KG-03,,,Complete Genome,1,2945245,,33.0,200.0,1,1,98.56,0.42,v1.2.3,PRJDB8056,,homo sapiens | keywords: gsc:mixs;migs:6.0,human,keywords: gsc:mixs;migs:6.0,GCA_009176765.1,isolated from blood specimens of a persistent bacteremia patient,Japan,,blood specimens of a persistent bacteremia patient,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
842,GCA_009176785.1,Staphylococcus aureus,homo sapiens,,,keywords: gsc:mixs;migs:6.0,,2899,,Canu v. 1.4; minimap v. 0.2-r124; racon v. 1.1.0; circlator v. 1.5.3; Pilon v. 1.18; SPAdes v. 3.11.1; A5-miseq v. 20140604,SAMD00164376,KG-18,,,Complete Genome,1,2963149,,33.0,200.0,2,2,97.92,0.42,v1.2.3,PRJDB8056,,homo sapiens | keywords: gsc:mixs;migs:6.0,human,keywords: gsc:mixs;migs:6.0,GCA_009176785.1,isolated from blood specimens of a persistent bacteremia patient,Japan,,blood specimens of a persistent bacteremia patient,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
843,GCA_009176875.1,Staphylococcus aureus,homo sapiens,,,keywords: gsc:mixs;migs:6.0,,2900,,Canu v. 1.4; minimap v. 0.2-r124; racon v. 1.1.0; circlator v. 1.5.3; Pilon v. 1.18; SPAdes v. 3.11.1; A5-miseq v. 20140604,SAMD00164378,KG-22,,,Complete Genome,1,2961166,,33.0,200.0,2,2,98.56,0.42,v1.2.3,PRJDB8056,,homo sapiens | keywords: gsc:mixs;migs:6.0,human,keywords: gsc:mixs;migs:6.0,GCA_009176875.1,isolated from blood specimens of a persistent bacteremia patient,Japan,,blood specimens of a persistent bacteremia patient,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
844,GCA_009259725.1,Staphylococcus aureus,,retail turkey,,,,3033,Best-placed reference protein set; GeneMarkS-2+,CLC Genomic workbench v. 7,SAMN12359202,B6-55A,,,Chromosome,1,2765700,,33.0,209.32,43,43,98.61,0.98,v1.2.3,PRJNA555718,,retail turkey,food,,GCA_009259725.1,,USA,,retail turkey,,,,,,,
845,GCA_009497915.1,Staphylococcus aureus,homo sapiens,pus,,staphylococcus aureus subsp. anaerobius strain zhenghai from a patient with sepsis.,,2818,Best-placed reference protein set; GeneMarkS+,SPAdes v. 3.12.0,SAMN10227280,Zhenghai,,,Chromosome,1,1979826,,33.0,60.0,2,1,98.23,0.39,v1.2.3,PRJNA494949,,homo sapiens | pus | staphylococcus aureus subsp. anaerobius strain zhenghai from a patient with sepsis.,human,pus staphylococcus aureus subsp. anaerobius strain zhenghai from a patient with sepsis.,GCA_009497915.1,,China,,Pus,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
846,GCA_009660585.1,Staphylococcus aureus,livestock,livestock farm,,,,2908,Best-placed reference protein set; GeneMarkS-2+,Velvet v. May-17,SAMN13242399,GHA/LAMRSA/2016/19,,,Scaffold,4,331977,,33.0,114.0,31,30,98.23,0.62,v1.2.3,PRJNA588370,,livestock | livestock farm,livestock,livestock farm,GCA_009660585.1,,Ghana,,Livestock farm,,,,,Staphylococcus aureus infection,Livestock,
847,GCA_009660755.1,Staphylococcus aureus,homo sapiens,livestock farm,,,,2776,Best-placed reference protein set; GeneMarkS-2+,Velvet v. May-17,SAMN13242390,GHA/LAMRSA/2016/10,,,Scaffold,3,420414,,32.5,126.0,30,29,98.3,0.39,v1.2.3,PRJNA588370,,homo sapiens | livestock farm,human,livestock farm,GCA_009660755.1,,Ghana,,Livestock farm,,Human,,Human,Staphylococcus aureus infection,"Human, Homo sapiens",Homo sapiens
848,GCA_009660895.1,Staphylococcus aureus,livestock,livestock farm,,,,2773,Best-placed reference protein set; GeneMarkS-2+,Velvet v. May-17,SAMN13242385,GHA/LAMRSA/2016/5,,,Scaffold,2,608274,,32.5,97.0,18,17,98.46,0.39,v1.2.3,PRJNA588370,,livestock | livestock farm,livestock,livestock farm,GCA_009660895.1,,Ghana,,Livestock farm,,,,,Staphylococcus aureus infection,Livestock,
849,GCA_009684655.1,Staphylococcus aureus,homo sapiens,blood,,,,2867,Best-placed reference protein set; GeneMarkS-2+,Unicycler v. 0.4.7,SAMN13011721,ZY05,,,Complete Genome,1,2822516,,33.0,100.0,2,2,98.63,0.54,v1.2.3,PRJNA576862,,homo sapiens | blood,human,blood,GCA_009684655.1,,China,,blood,,Human,,Human,toxic shock syndrome,"Human, Homo sapiens",Homo sapiens
850,GCA_009728755.1,Staphylococcus aureus,homo sapiens,83-year-old man,,,,2890,,Newbler v. 3.0,SAMN10250996,ST20130944,,,Complete Genome,1,2895361,,33.0,100.0,2,2,97.66,0.68,v1.2.3,PRJNA497214,,homo sapiens | 83-year-old man,human,83-year-old man,GCA_009728755.1,,France,,83-year-old man,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
851,GCA_009728775.1,Staphylococcus aureus,homo sapiens,83-year-old man,,,,2827,,Newbler v. 3.0,SAMN10251108,ST20130945,,,Complete Genome,1,2853520,,33.0,100.0,2,2,97.66,0.68,v1.2.3,PRJNA497221,,homo sapiens | 83-year-old man,human,83-year-old man,GCA_009728775.1,,France,,83-year-old man,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
852,GCA_009731595.1,Staphylococcus aureus,,,,keywords: gsc:mixs;migs:6.0,,2654,,Unicycler v. 0.4.2,SAMD00071152,Tokyo12480,,,Complete Genome,1,2766239,,33.0,100.0,1,1,97.03,0.42,v1.2.3,PRJDB5453,,keywords: gsc:mixs;migs:6.0,,,GCA_009731595.1,,,,Vomitus of patient,,,,,,,
853,GCA_009739675.1,Staphylococcus aureus,homo sapiens,blood,,,,3021,Best-placed reference protein set; GeneMarkS-2+,Celera Assembler v. 1.7,SAMN10374695,P2D8C1,,,Complete Genome,1,2865912,,33.0,576.0,5,5,97.06,0.39,v1.2.3,PRJNA503808,,homo sapiens | blood,human,blood,GCA_009739675.1,,Israel,,blood,,Human,,Human,ENDOCARDITIS,"Human, Homo sapiens",Homo sapiens
854,GCA_009739675.1,Staphylococcus aureus,homo sapiens,blood,,,,3021,Best-placed reference protein set; GeneMarkS-2+,Celera Assembler v. 1.7,SAMN10374695,P2D8C1,,,Complete Genome,1,2865912,,33.0,576.0,5,5,97.06,0.39,v1.2.3,PRJNA503808,,homo sapiens | blood,human,blood,GCA_009739675.1,,Israel,,blood,,Human,,Human,ENDOCARDITIS,Homo sapiens,Homo sapiens
855,GCA_009739695.1,Staphylococcus aureus,homo sapiens,blood,,,,3021,Best-placed reference protein set; GeneMarkS-2+,Celera Assembler v. 1.7,SAMN10374694,P2D1C1,,,Complete Genome,1,2865917,,33.0,594.0,5,5,97.08,0.39,v1.2.3,PRJNA503808,,homo sapiens | blood,human,blood,GCA_009739695.1,,Israel,,blood,,Human,,Human,ENDOCARDITIS,"Human, Homo sapiens",Homo sapiens
856,GCA_009739695.1,Staphylococcus aureus,homo sapiens,blood,,,,3021,Best-placed reference protein set; GeneMarkS-2+,Celera Assembler v. 1.7,SAMN10374694,P2D1C1,,,Complete Genome,1,2865917,,33.0,594.0,5,5,97.08,0.39,v1.2.3,PRJNA503808,,homo sapiens | blood,human,blood,GCA_009739695.1,,Israel,,blood,,Human,,Human,ENDOCARDITIS,Homo sapiens,Homo sapiens
857,GCA_009739715.1,Staphylococcus aureus,homo sapiens,blood,,,,3017,Best-placed reference protein set; GeneMarkS-2+,Celera Assembler v. 1.7,SAMN10374696,P2D15C1,,,Complete Genome,1,2864392,,33.0,1177.0,5,5,97.06,0.39,v1.2.3,PRJNA503808,,homo sapiens | blood,human,blood,GCA_009739715.1,,Israel,,blood,,Human,,Human,ENDOCARDITIS,"Human, Homo sapiens",Homo sapiens
858,GCA_009739735.1,Staphylococcus aureus,homo sapiens,blood,,,,2934,Best-placed reference protein set; GeneMarkS-2+,Celera Assembler v. 1.7,SAMN10374691,P1D9C1,,,Complete Genome,1,2818171,,33.0,548.0,3,3,96.91,0.39,v1.2.3,PRJNA503808,,homo sapiens | blood,human,blood,GCA_009739735.1,,Israel,,blood,,Human,,Human,ENDOCARDITIS,"Human, Homo sapiens",Homo sapiens
859,GCA_009739755.1,Staphylococcus aureus,homo sapiens,blood,,,,2934,Best-placed reference protein set; GeneMarkS-2+,Celera Assembler v. 1.7,SAMN10374690,P1D8C2,,,Complete Genome,1,2818364,,33.0,674.0,3,3,96.91,0.39,v1.2.3,PRJNA503808,,homo sapiens | blood,human,blood,GCA_009739755.1,,Israel,,blood,,Human,,Human,ENDOCARDITIS,"Human, Homo sapiens",Homo sapiens
860,GCA_009739775.1,Staphylococcus aureus,homo sapiens,blood,,,,2934,Best-placed reference protein set; GeneMarkS-2+,Celera Assembler v. 1.7,SAMN10374689,P1D8C1,,,Complete Genome,1,2818358,,33.0,600.0,3,3,96.91,0.39,v1.2.3,PRJNA503808,,homo sapiens | blood,human,blood,GCA_009739775.1,,Israel,,blood,,Human,,Human,ENDOCARDITIS,"Human, Homo sapiens",Homo sapiens
861,GCA_009739795.1,Staphylococcus aureus,homo sapiens,blood,,,,2934,Best-placed reference protein set; GeneMarkS-2+,Celera Assembler v. 1.7,SAMN10374688,P1D7C1,,,Complete Genome,1,2818363,,33.0,400.0,3,3,96.89,0.39,v1.2.3,PRJNA503808,,homo sapiens | blood,human,blood,GCA_009739795.1,,Israel,,blood,,Human,,Human,ENDOCARDITIS,"Human, Homo sapiens",Homo sapiens
862,GCA_009739825.1,Staphylococcus aureus,homo sapiens,blood,,,,2934,Best-placed reference protein set; GeneMarkS-2+,Celera Assembler v. 1.7,SAMN10374686,P1D5C1,,,Complete Genome,1,2818364,,33.0,592.0,3,3,96.91,0.39,v1.2.3,PRJNA503808,,homo sapiens | blood,human,blood,GCA_009739825.1,,Israel,,blood,,Human,,Human,ENDOCARDITIS,"Human, Homo sapiens",Homo sapiens
863,GCA_009739845.1,Staphylococcus aureus,homo sapiens,blood,,,,2934,Best-placed reference protein set; GeneMarkS-2+,Celera Assembler v. 1.7,SAMN10374685,P1D1C1,,,Complete Genome,1,2818364,,33.0,400.0,3,3,96.91,0.39,v1.2.3,PRJNA503808,,homo sapiens | blood,human,blood,GCA_009739845.1,,Israel,,blood,,Human,,Human,ENDOCARDITIS,"Human, Homo sapiens",Homo sapiens
864,GCA_009739865.1,Staphylococcus aureus,homo sapiens,blood,,,,2934,Best-placed reference protein set; GeneMarkS-2+,Celera Assembler v. 1.7,SAMN10374693,P1D14C1,,,Complete Genome,1,2818171,,33.0,561.0,3,3,96.91,0.39,v1.2.3,PRJNA503808,,homo sapiens | blood,human,blood,GCA_009739865.1,,Israel,,blood,,Human,,Human,ENDOCARDITIS,"Human, Homo sapiens",Homo sapiens
