Assembly Accession	Organism Name	Assembly BioSample Host	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Description Comment	Annotation BUSCO Complete	Annotation Count Gene Total	Annotation Method	Assembly Assembly Method	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Tissue	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination	CheckM version	Assembly BioProject Accession	Assembly BioSample Age	host_text	cleaned_host
GCF_022385275.1	Staphylococcus aureus	homo sapiens	NA	NA	to find the relevant genes for biofilms formation and study the evolutionary relationships among staphylococcus aureus.	NA	2684	Best-placed reference protein set; GeneMarkS-2+	Canu v. v1.6	SAMN24425091	SYN	NA	NA	Complete Genome	1	2732224	NA	33	2306.98	2	2	98.07	0.54	v1.2.3	PRJNA792439	NA	homo sapiens | to find the relevant genes for biofilms formation and study the evolutionary relationships among staphylococcus aureus.	human
GCF_022404575.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2868	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567988	NAS_OP_101	NA	NA	Complete Genome	1	2816537	NA	33	50	2	2	97.99	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022404595.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2806	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567985	NAS_OP_071	NA	NA	Complete Genome	1	2779850	NA	33	50	2	2	98.72	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022404615.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2921	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567984	NAS_OP_063	NA	NA	Complete Genome	1	2869905	NA	33	50	2	2	97.99	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022404635.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2752	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567981	NAS_OP_043	NA	NA	Complete Genome	1	2725874	NA	33	50	3	3	98.07	0.56	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022404655.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2701	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567978	NAS_OP_026	NA	NA	Complete Genome	1	2720516	NA	33	50	2	2	98.71	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022404675.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2852	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567977	NAS_OP_017	NA	NA	Complete Genome	1	2823979	NA	33	50	3	3	97.99	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022404695.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2807	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567966	NAS_NP_164	NA	NA	Complete Genome	1	2776622	NA	33	50	2	2	98.72	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022404715.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2726	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567965	NAS_NP_161	NA	NA	Complete Genome	1	2728104	NA	33	50	2	2	98.41	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022404735.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2719	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567962	NAS_NP_103	NA	NA	Complete Genome	1	2737213	NA	33	50	2	2	98.57	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022404755.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2798	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567959	NAS_AN_275	NA	NA	Complete Genome	1	2771054	NA	33	50	2	2	97.97	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022404775.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2805	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567958	NAS_AN_270	NA	NA	Complete Genome	1	2781066	NA	33	50	2	2	98.6	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405055.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2819	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567957	NAS_AN_265	NA	NA	Complete Genome	1	2792814	NA	33	50	2	2	98.83	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405075.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2851	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567956	NAS_AN_261	NA	NA	Complete Genome	1	2823053	NA	33	50	2	2	97.37	0.48	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405145.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2925	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567955	NAS_AN_260	NA	NA	Complete Genome	1	2888373	NA	33	50	2	2	98.72	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405185.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2746	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567953	NAS_AN_250	NA	NA	Complete Genome	1	2729778	NA	33	50	2	2	97.77	1.09	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405205.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2726	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567950	NAS_AN_233	NA	NA	Complete Genome	1	2722643	NA	33	50	2	2	97.95	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405235.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2747	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567947	NAS_AN_206	NA	NA	Complete Genome	1	2735369	NA	33	50	2	2	97.89	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405255.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2725	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567944	NAS_AN_203	NA	NA	Complete Genome	1	2722643	NA	33	50	2	2	97.95	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405275.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2731	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567943	NAS_AN_184	NA	NA	Complete Genome	1	2734925	NA	33	50	2	2	98.29	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405295.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2786	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567939	NAS_AN_157	NA	NA	Complete Genome	1	2734702	NA	33	50	2	2	97.39	1.68	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405315.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2752	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567938	NAS_AN_152	NA	NA	Complete Genome	1	2734462	NA	33	50	2	2	98.87	0.47	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405335.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2687	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567931	NAS_AN_130	NA	NA	Complete Genome	1	2726923	NA	33	50	2	2	98.51	0.42	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405355.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2998	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567930	NAS_AN_123	NA	NA	Complete Genome	1	2923504	NA	33	50	2	2	97.97	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405375.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2731	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567929	NAS_AN_115	NA	NA	Complete Genome	1	2734925	NA	33	50	2	2	98.29	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405395.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2738	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567928	NAS_AN_111	NA	NA	Complete Genome	1	2735115	NA	33	50	2	2	98.39	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405415.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2686	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567927	NAS_AN_109	NA	NA	Complete Genome	1	2696877	NA	33	50	4	4	98.56	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405435.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2723	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567923	NAS_AN_099	NA	NA	Complete Genome	1	2735674	NA	33	50	2	2	98.44	0.54	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405455.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2803	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567920	NAS_AN_079	NA	NA	Complete Genome	1	2774090	NA	33	50	2	2	98.36	0.33	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405475.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2860	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567919	NAS_AN_076	NA	NA	Complete Genome	1	2833222	NA	33	50	2	2	98.02	0.48	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405495.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2955	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567918	NAS_AN_068	NA	NA	Complete Genome	1	2895508	NA	33	50	2	2	98.13	0.48	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405515.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2721	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567916	NAS_AN_050	NA	NA	Complete Genome	1	2725155	NA	33	50	2	2	98.08	0.62	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405535.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2726	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567915	NAS_AN_047	NA	NA	Complete Genome	1	2747630	NA	33	50	2	2	98.6	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405555.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2739	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567914	NAS_AN_044	NA	NA	Complete Genome	1	2738397	NA	33	50	2	2	98.48	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405575.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2869	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567913	NAS_AN_036	NA	NA	Complete Genome	1	2791691	NA	33	50	3	3	98.25	0.41	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405595.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2827	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567909	NAS_AN_009	NA	NA	Complete Genome	1	2794450	NA	33	50	2	2	98.46	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405615.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2790	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567908	NAS_AN_005	NA	NA	Complete Genome	1	2746478	NA	33	50	3	3	98.02	0.48	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405655.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2672	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567998	NAS_OP_154	NA	NA	Complete Genome	1	2709761	NA	33	50	1	1	98.28	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405675.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2768	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567994	NAS_OP_143	NA	NA	Complete Genome	1	2789606	NA	33	50	1	1	98.46	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405735.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2746	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567989	NAS_OP_107	NA	NA	Complete Genome	1	2744744	NA	33	50	1	1	98.18	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405755.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2791	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567987	NAS_OP_098	NA	NA	Complete Genome	1	2791157	NA	33	50	1	1	98.72	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405775.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2658	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567983	NAS_OP_056	NA	NA	Complete Genome	1	2704175	NA	33	50	1	1	98.28	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405795.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2716	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567982	NAS_OP_052	NA	NA	Complete Genome	1	2735271	NA	33	50	1	1	98.48	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405815.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2780	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567974	NAS_NP_229	NA	NA	Complete Genome	1	2798569	NA	33	50	1	1	97.59	0.68	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405835.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2844	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567971	NAS_NP_209	NA	NA	Complete Genome	1	2839488	NA	33	50	1	1	97.59	0.68	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405855.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2675	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567970	NAS_NP_198	NA	NA	Complete Genome	1	2717651	NA	33	50	1	1	98.77	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405875.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2771	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567968	NAS_NP_181	NA	NA	Complete Genome	1	2810033	NA	33	50	1	1	97.27	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405895.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2824	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567952	NAS_AN_247	NA	NA	Complete Genome	1	2824979	NA	33	50	1	1	98.33	0.62	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405915.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2707	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567951	NAS_AN_239	NA	NA	Complete Genome	1	2736151	NA	33	50	1	1	98.75	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405935.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2765	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567946	NAS_AN_205	NA	NA	Complete Genome	1	2782685	NA	33	50	1	1	98.44	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405955.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2767	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567945	NAS_AN_204	NA	NA	Complete Genome	1	2766319	NA	33	50	1	1	97.95	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405975.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2722	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567942	NAS_AN_181	NA	NA	Complete Genome	1	2747013	NA	33	50	1	1	98.67	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022405995.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2768	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567941	NAS_AN_176	NA	NA	Complete Genome	1	2779091	NA	33	50	1	1	98.74	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022406015.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2723	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567940	NAS_AN_175	NA	NA	Complete Genome	1	2747195	NA	33	50	1	1	98.67	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022406035.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2914	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567937	NAS_AN_150	NA	NA	Complete Genome	1	2904568	NA	33	50	1	1	97.87	0.68	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022406055.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2721	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567936	NAS_AN_149	NA	NA	Complete Genome	1	2746529	NA	33	50	1	1	98.67	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022406075.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2706	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567935	NAS_AN_143	NA	NA	Complete Genome	1	2735946	NA	33	50	1	1	98.74	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022406125.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2737	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567932	NAS_AN_136	NA	NA	Complete Genome	1	2743409	NA	33	50	1	1	98.87	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022406315.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2716	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567911	NAS_AN_023	NA	NA	Complete Genome	1	2741087	NA	33	50	1	1	98.87	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022406435.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2745	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567910	NAS_AN_016	NA	NA	Complete Genome	1	2743582	NA	33	50	1	1	98.87	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022406555.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2712	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567907	NAS_AN_003	NA	NA	Complete Genome	1	2731025	NA	33	50	1	1	98.51	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022406795.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2674	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567949	NAS_AN_212	NA	NA	Complete Genome	1	2722082	NA	33	50	1	1	98.9	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022493095.1	Staphylococcus aureus	homo sapiens	NA	NA	NA	NA	2835	Best-placed reference protein set; GeneMarkS-2+	Uniclycler v. 0.4.8	SAMN15567960	NAS_AN_285	NA	NA	Complete Genome	1	2822484	NA	33	50	2	2	97.63	0.39	v1.2.3	PRJNA626345	NA	homo sapiens	human
GCF_022494545.1	Staphylococcus aureus	homo sapiens	pus	NA	NA	NA	2870	Best-placed reference protein set; GeneMarkS-2+	SMRT Link v. v5.0.1	SAMN23416073	199	NA	NA	Complete Genome	1	2844011	NA	33	120	1	1	98.81	0.39	v1.2.3	PRJNA783074	NA	homo sapiens | pus	human
GCF_022494565.1	Staphylococcus aureus	homo sapiens	nasal swab	NA	NA	NA	2753	Best-placed reference protein set; GeneMarkS-2+	SMRT Link v. v5.0.1	SAMN23416894	697	NA	NA	Complete Genome	1	2797342	NA	33	120	1	1	98.69	0.39	v1.2.3	PRJNA783074	NA	homo sapiens | nasal swab	human
GCF_022524365.1	Staphylococcus aureus	homo sapiens	breast milk	NA	NA	NA	2885	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.15.3	SAMN25894905	KZ_190	NA	NA	Scaffold	2	610579	NA	32.5	388.64	45	43	98.69	0.39	v1.2.3	PRJNA806694	NA	homo sapiens | breast milk	human
GCF_022532145.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2781	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. v0.4.7.	SAMN26288008	GY8	NA	NA	Complete Genome	1	2788282	NA	33	1492	2	2	98.59	0.54	v1.2.3	PRJNA810893	NA	homo sapiens | blood	human
GCF_022682325.1	Staphylococcus aureus	NA	induction of antibiotic	NA	NA	NA	2753	Best-placed reference protein set; GeneMarkS-2+	SMRT Link v. v5.0.1	SAMN26688415	697R	NA	NA	Complete Genome	1	2797399	NA	33	120	1	1	98.61	0.39	v1.2.3	PRJNA783074	NA	induction of antibiotic	NA
GCF_022691325.1	Staphylococcus aureus	homo sapiens	nephrostomy	NA	NA	NA	2929	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN26026633	VMRSA-WC062	NA	NA	Complete Genome	1	2898133	NA	33	177	2	2	98.37	0.97	v1.2.3	PRJNA808078	NA	homo sapiens | nephrostomy	human
GCF_022691345.1	Staphylococcus aureus	homo sapiens	urine	NA	NA	NA	2926	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN26026632	VMRSA-WC052	NA	NA	Complete Genome	1	2815072	NA	33	236	3	3	98.37	0.95	v1.2.3	PRJNA808078	NA	homo sapiens | urine	human
GCF_022691365.1	Staphylococcus aureus	homo sapiens	urine	NA	NA	NA	2827	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN26026631	MRSA-WC101	NA	NA	Complete Genome	1	2818121	NA	33	395	2	2	98.37	0.62	v1.2.3	PRJNA808078	NA	homo sapiens | urine	human
GCF_022691385.1	Staphylococcus aureus	homo sapiens	nephrostomy	NA	NA	NA	2829	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN26026630	MRSA-WC090	NA	NA	Complete Genome	1	2820129	NA	33	525	2	2	98.37	0.62	v1.2.3	PRJNA808078	NA	homo sapiens | nephrostomy	human
GCF_022691405.1	Staphylococcus aureus	homo sapiens	nephrostomy	NA	NA	NA	2834	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN26026629	MRSA-WC061	NA	NA	Complete Genome	1	2819747	NA	33	325	2	2	98.37	0.62	v1.2.3	PRJNA808078	NA	homo sapiens | nephrostomy	human
GCF_022691425.1	Staphylococcus aureus	homo sapiens	nares	NA	NA	NA	2891	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN26026628	MRSA-WC000	NA	NA	Complete Genome	1	2860420	NA	33	205	2	2	98.37	0.62	v1.2.3	PRJNA808078	NA	homo sapiens | nares	human
GCF_022693165.1	Staphylococcus aureus	homo sapiens	urine	NA	NA	NA	2929	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN26026642	VMRSA-WC123	NA	NA	Complete Genome	1	2898241	NA	33	242	2	2	98.37	0.97	v1.2.3	PRJNA808078	NA	homo sapiens | urine	human
GCF_022693185.1	Staphylococcus aureus	homo sapiens	urine	NA	NA	NA	2930	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN26026641	VMRSA-WC121	NA	NA	Complete Genome	1	2898679	NA	33	185	2	2	98.24	0.97	v1.2.3	PRJNA808078	NA	homo sapiens | urine	human
GCF_022693205.1	Staphylococcus aureus	homo sapiens	urine	NA	NA	NA	2897	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN26026640	VRMSSA-WC113	NA	NA	Complete Genome	1	2871977	NA	33	199	2	2	98.37	0.97	v1.2.3	PRJNA808078	NA	homo sapiens | urine	human
GCF_022693225.1	Staphylococcus aureus	homo sapiens	urine	NA	NA	NA	2904	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN26026639	VRMSSA-WC111	NA	NA	Complete Genome	1	2872486	NA	33	81	2	2	98.37	0.97	v1.2.3	PRJNA808078	NA	homo sapiens | urine	human
GCF_022693245.1	Staphylococcus aureus	homo sapiens	urine	NA	NA	NA	2924	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN26026638	VMRSA-WC102	NA	NA	Complete Genome	1	2818951	NA	33	345	3	3	98.28	0.95	v1.2.3	PRJNA808078	NA	homo sapiens | urine	human
GCF_022693265.1	Staphylococcus aureus	homo sapiens	urine	NA	NA	NA	2936	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN26026637	VMRSA-WC083	NA	NA	Complete Genome	1	2820042	NA	33	79	3	3	98.26	0.95	v1.2.3	PRJNA808078	NA	homo sapiens | urine	human
GCF_022693285.1	Staphylococcus aureus	homo sapiens	urine	NA	NA	NA	2932	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN26026636	VMRSA-WC082	NA	NA	Complete Genome	1	2899492	NA	33	119	2	2	98.37	0.97	v1.2.3	PRJNA808078	NA	homo sapiens | urine	human
GCF_022693305.1	Staphylococcus aureus	homo sapiens	urine	NA	NA	NA	2918	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN26026635	VMRSA-WC081	NA	NA	Complete Genome	1	2895422	NA	33	152	2	2	98.37	0.97	v1.2.3	PRJNA808078	NA	homo sapiens | urine	human
GCF_022693325.1	Staphylococcus aureus	homo sapiens	urine	NA	NA	NA	2929	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. 0.4.8	SAMN26026634	VMRSA-WC071	NA	NA	Complete Genome	1	2897962	NA	33	181	2	2	98.37	0.97	v1.2.3	PRJNA808078	NA	homo sapiens | urine	human
