Assembly Accession	Organism Name	Assembly BioSample Host	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Description Comment	Annotation BUSCO Complete	Annotation Count Gene Total	Annotation Method	Assembly Assembly Method	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Tissue	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination	CheckM version	Assembly BioProject Accession	Assembly BioSample Age
GCF_034033475.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2826	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696795	Dog103			Complete Genome	1	2783696		33	331	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034034275.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2831	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696793	Dog101			Complete Genome	1	2783643		33	302	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034035055.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2831	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696792	Dog100			Complete Genome	1	2783696		33	262	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034035835.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2829	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696790	Dog052			Complete Genome	1	2783698		33	309	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034036855.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2724	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696789	Dog049			Complete Genome	1	2745352		33	251	1	1	98.75	0.62	v1.2.3	PRJNA942599	
GCF_034040575.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2829	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696785	Dog044			Complete Genome	1	2783848		33	218	2	2	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034041215.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2823	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696784	Dog043			Complete Genome	1	2783847		33	574	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034042675.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2797	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696779	Dog035_1			Complete Genome	1	2782558		33	191	2	2	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034042695.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2757	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696778	Dog032			Complete Genome	1	2741006		33	454	3	3	97.77	0.45	v1.2.3	PRJNA942599	
GCF_034042795.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2830	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696773	Dog027			Complete Genome	1	2783698		33	381	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034042835.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2832	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696771	Dog025			Complete Genome	1	2783779		33	753	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034042875.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2828	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696794	Dog102			Complete Genome	1	2783448		33	294	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034042935.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2737	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696837	Dog165			Complete Genome	1	2738126		33	909	3	3	98.73	0.39	v1.2.3	PRJNA942599	
GCF_034042955.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2739	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696836	Dog162			Complete Genome	1	2738126		33	941	3	3	98.73	0.39	v1.2.3	PRJNA942599	
GCF_034042995.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2734	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696834	Dog158			Complete Genome	1	2738109		33	345	2	2	98.76	0.39	v1.2.3	PRJNA942599	
GCF_034043015.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2738	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696833	Dog156			Complete Genome	1	2738126		33	600	3	3	98.73	0.39	v1.2.3	PRJNA942599	
GCF_034043035.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2738	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696832	Dog152			Complete Genome	1	2738126		33	662	3	3	98.73	0.39	v1.2.3	PRJNA942599	
GCF_034043055.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2831	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696831	Dog149			Complete Genome	1	2783709		33	320	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034043075.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2738	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696830	Dog148			Complete Genome	1	2734931		33	650	3	3	97.38	0.39	v1.2.3	PRJNA942599	
GCF_034043095.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2735	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696829	Dog147			Complete Genome	1	2738109		33	488	2	2	98.76	0.39	v1.2.3	PRJNA942599	
GCF_034043115.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2738	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696828	Dog145			Complete Genome	1	2738109		33	694	2	2	98.76	0.39	v1.2.3	PRJNA942599	
GCF_034043175.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2831	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696825	Dog140			Complete Genome	1	2783708		33	779	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034043195.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2822	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696824	Dog139			Complete Genome	1	2783708		33	226	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034043215.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2728	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696823	Dog138			Complete Genome	1	2734931		33	286	2	2	97.38	0.39	v1.2.3	PRJNA942599	
GCF_034043235.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2826	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696822	Dog137			Complete Genome	1	2783708		33	231	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034043255.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2830	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696821	Dog136			Complete Genome	1	2783002		33	281	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034043275.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2831	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696820	Dog135			Complete Genome	1	2783698		33	802	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034043295.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2835	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696819	Dog133			Complete Genome	1	2785364		33	328	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034043315.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2828	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696818	Dog132			Complete Genome	1	2783723		33	262	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034043395.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2832	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696812	Dog126			Complete Genome	1	2783770		33	328	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034043415.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2830	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696811	Dog125			Complete Genome	1	2783397		33	291	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034105245.1	Staphylococcus aureus	Homo sapiens	blood		aliases: B0634, R11402		2957	Best-placed reference protein set; GeneMarkS-2+	SKESA v. 2.2	SAMN38351591	BSN59			Scaffold	2	629499		32.5	140	16	16	97.4	0.39	v1.2.3	PRJNA978117	
GCF_034105255.2	Staphylococcus aureus	Homo sapiens	blood		aliases: B0638, R11451. Other isolates from this patient: BSN62		2998	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38351595	BSN62-2			Complete Genome	1	2925081		33	119	3	3	97.9	0.39	v1.2.3	PRJNA978117	
GCF_034105275.2	Staphylococcus aureus	Homo sapiens	blood		aliases: B0636, R11414		2925	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38351593	BSN61			Complete Genome	1	2876334		33	180	3	3	97.87	0.39	v1.2.3	PRJNA978117	
GCF_034259435.1	Staphylococcus aureus	Homo sapiens	blood		aliases: B0640, R11516		3006	Best-placed reference protein set; GeneMarkS-2+	SKESA v. 2.2	SAMN38351597	BSN64			Scaffold	3	453035		32.5	110	35	35	98.21	1.76	v1.2.3	PRJNA978117	
GCF_034357665.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2833	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696815	Dog128			Complete Genome	1	2783842		33	247	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034365965.1	Staphylococcus aureus	Homo sapiens	blood		aliases: B0615, R11481. Other isolates from this patient: BSN50-1, BSN50-2.		2956	Best-placed reference protein set; GeneMarkS-2+	SKESA v. 2.2	SAMN36733054	BSN50-3			Scaffold	2	610482		32.5	134	16	16	97.99	0.39	v1.2.3	PRJNA978117	
GCF_034365975.1	Staphylococcus aureus	Homo sapiens	blood		aliases: B0614, R11507. Other isolates from this patient: BSN50-1, BSN50-3.		2956	Best-placed reference protein set; GeneMarkS-2+	SKESA v. 2.2	SAMN36733053	BSN50-2			Scaffold	2	610483		32.5	132	15	15	97.99	0.39	v1.2.3	PRJNA978117	
GCF_034421975.1	Staphylococcus aureus	Homo sapiens	Blood cultures				2828	Best-placed reference protein set; GeneMarkS-2+	Flye; Medaka v. 2.9.2; 1.7.2	SAMN38397519	GP11			Complete Genome	1	2806346		33	400	2	2	96.07	0.54	v1.2.3	PRJNA1044725	
GCF_034424945.2	Staphylococcus aureus	Homo sapiens	blood		Other isolates from this patient: B0588 (05SEP2020 isolate)		2957	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38759728	BSN42			Complete Genome	1	2916209		33	146	1	1	97.91	0.39	v1.2.4	PRJNA978117	
GCF_034424965.2	Staphylococcus aureus	Homo sapiens	blood				2788	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38761804	BSN43			Complete Genome	1	2800217		33	108	1	1	98.48	0.39	v1.2.4	PRJNA978117	
GCF_034425095.2	Staphylococcus aureus	Homo sapiens	blood				2900	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38761805	BSN44			Complete Genome	1	2849472		33	118	2	2	97.88	0.39	v1.2.4	PRJNA978117	
GCF_034425115.2	Staphylococcus aureus	Homo sapiens	blood		Other isolates from this patient: BSN57		2976	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38637649	BSN57-2			Complete Genome	1	2920694		33	65	2	2	98.08	0.58	v1.2.3	PRJNA978117	
GCF_034425135.2	Staphylococcus aureus	Homo sapiens	blood		Other isolates from this patient: BSN51-2, BSN51-3, BSN51-4.		2806	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN36733055	BSN51			Complete Genome	1	2816631		33	68	1	1	97.6	0.39	v1.2.4	PRJNA978117	
GCF_034427355.2	Staphylococcus aureus	Homo sapiens	blood		Other isolates from this patient: BSN41.2, BSN41.3, BSN41.4		2999	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38754069	BSN41			Complete Genome	1	2919073		33	121	3	3	97.99	0.39	v1.2.3	PRJNA978117	
GCF_034427895.2	Staphylococcus aureus	Homo sapiens	blood				2755	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38752237	BSN40			Complete Genome	1	2746117		33	140	2	2	98.75	0.39	v1.2.4	PRJNA978117	
GCF_034479795.1	Staphylococcus aureus	Canis lupus familiaris	nasal swab				2832	Best-placed reference protein set; GeneMarkS-2+	Flye v. v2.8	SAMN33696817	Dog130			Complete Genome	1	2783709		33	369	3	3	97.97	0.75	v1.2.3	PRJNA942599	
GCF_034554735.1	Staphylococcus aureus		clinical sample				2773	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.11.1	SAMN38196775	A1			Chromosome	8	109343		32.5	100	179	1	98.22	0.39	v1.2.3	PRJNA1037747	
GCF_034554895.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0629. Other isolates from this patient: BSN56-2		2811	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637646	BSN56			Complete Genome	1	2784385		33	157	2	2	98.87	0.39	v1.2.3	PRJNA1048360	
GCF_034554905.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0605. Other isolates from this patient: BSN48, BSN48-3		3009	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637639	BSN48-2			Complete Genome	1	2932403		33	121	3	3	97.77	0.58	v1.2.3	PRJNA1048360	
GCF_034650315.1	Staphylococcus aureus	duck	missing				2965	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. V10.1	SAMN31335121	GDSH21D216S			Scaffold	6	176308		33	10	62	46	98.02	0.58	v1.2.3	PRJNA891497	
GCF_034650335.1	Staphylococcus aureus	duck	missing				2968	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. V10.1	SAMN31335120	GDSH21D215S			Scaffold	7	167345		33	10	56	49	98.02	0.58	v1.2.3	PRJNA891497	
GCF_034650355.1	Staphylococcus aureus	duck	missing				2929	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. V10.1	SAMN31335118	GDSH21D184S			Scaffold	13	74201		32.5	10	78	65	98.41	0.9	v1.2.3	PRJNA891497	
GCF_034650375.1	Staphylococcus aureus	N/A	feed				2931	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. V10.1	SAMN31335116	GDSH21D120S			Scaffold	11	98874		32.5	10	66	58	98.41	0.9	v1.2.3	PRJNA891497	
GCF_034650395.1	Staphylococcus aureus	N/A	airborn dust				2939	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. V10.1	SAMN31335117	GDSH21D180S			Scaffold	9	80909		32.5	10	65	56	98.41	0.92	v1.2.3	PRJNA891497	
GCF_034650415.1	Staphylococcus aureus	N/A	airborn dust				2850	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. V10.1	SAMN31335114	GDH20D105-3S			Scaffold	9	125696		32.5	10	66	49	98.35	0.9	v1.2.3	PRJNA891497	
GCF_034650435.1	Staphylococcus aureus	N/A	feed				2964	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. V10.1	SAMN31335115	GDSH21D118S			Scaffold	10	125741		32.5	10	72	64	98.41	0.95	v1.2.3	PRJNA891497	
GCF_034650455.1	Staphylococcus aureus	N/A	airborn dust				2857	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. V10.1	SAMN31335113	GDH20D105-1S			Scaffold	8	129991		32.5	10	60	46	98.41	0.97	v1.2.3	PRJNA891497	
GCF_034650475.1	Staphylococcus aureus	N/A	airborn dust				2912	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. V10.1	SAMN31335112	GDH20D102-2S			Scaffold	9	103595		32.5	10	65	52	98.41	0.92	v1.2.3	PRJNA891497	
GCF_034650505.1	Staphylococcus aureus	N/A	airborn dust				2962	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. V10.1	SAMN31335111	GDH20D91-1S			Scaffold	6	199855		32.5	10	62	53	97.5	1.34	v1.2.3	PRJNA891497	
GCF_034650535.1	Staphylococcus aureus	duck	missing				2842	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. V10.1	SAMN31335110	GDH20D82S			Scaffold	11	80875		32.5	10	65	54	98.41	0.9	v1.2.3	PRJNA891497	
GCF_034650545.1	Staphylococcus aureus	duck	missing				2809	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. V10.1	SAMN31335109	GDH20D72S			Scaffold	9	108220		32.5	10	57	49	98.41	0.9	v1.2.3	PRJNA891497	
GCF_034650575.1	Staphylococcus aureus	duck	missing				3011	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. V10.1	SAMN31335108	GDH20D52S			Scaffold	5	231211		33	10	128	107	97.5	1.36	v1.2.3	PRJNA891497	
GCF_034650605.1	Staphylococcus aureus	N/A	airborn dust				2975	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. V10.1	SAMN31335107	GDH20D93-3S			Scaffold	4	247175		33	10	75	68	97.5	1.34	v1.2.3	PRJNA891497	
GCF_034661335.1	Staphylococcus aureus	Homo sapiens	blood				2855	Best-placed reference protein set; GeneMarkS-2+	Unicycler v. v0.4.8	SAMN29629455	#492			Complete Genome	1	2856680		33	298	1	1	97.76	0.39	v1.2.3	PRJNA857545	
GCF_034809325.1	Staphylococcus aureus	duck	missing				3000	Best-placed reference protein set; GeneMarkS-2+	CLC NGS Cell v. V10.1	SAMN31335106	GDH20D47S			Scaffold	5	231084		33	10	146	115	97.5	1.35	v1.2.3	PRJNA891497	
GCF_034809525.1	Staphylococcus aureus	Gallas gallas domesticus	Skin of a broiler				2830	Best-placed reference protein set; GeneMarkS-2+	Trycycler v. 0.4.1	SAMN22357911	CKFA-361			Complete Genome	1	2799475		33	160	2	2	98.57	0.39	v1.2.3	PRJNA498007	
GCF_034809545.1	Staphylococcus aureus	Gallas gallas domesticus	Beak of a broiler				2963	Best-placed reference protein set; GeneMarkS-2+	Trycycler v. 0.4.1	SAMN22357910	CJFA-182			Complete Genome	1	2927067		33	207	3	3	96.97	0.87	v1.2.3	PRJNA498007	
GCF_036311845.1	Staphylococcus aureus	Homo sapiens	laboratory				2876	Best-placed reference protein set; GeneMarkS-2+	CLCbio v. 12	SAMN39529695	SA75_Dt			Scaffold	3	374838		32.5	200	20	18	98.76	0.98	v1.2.3	PRJNA1067537	
GCF_036311865.1	Staphylococcus aureus	Homo sapiens	laboratory				2892	Best-placed reference protein set; GeneMarkS-2+	CLCbio v. 12	SAMN39529697	USA300_Dt			Scaffold	5	201596		32.5	200	30	24	97.99	0.39	v1.2.3	PRJNA1067537	
GCF_036311885.1	Staphylococcus aureus	Homo sapiens	laboratory				2874	Best-placed reference protein set; GeneMarkS-2+	CLCbio v. 12	SAMN39529696	SA75_WT			Scaffold	3	374673		32.5	200	20	18	98.78	0.98	v1.2.3	PRJNA1067537	
GCF_036311925.1	Staphylococcus aureus	Homo sapiens	laboratory				2870	Best-placed reference protein set; GeneMarkS-2+	CLCbio v. 12	SAMN39529693	Newman_Dt			Scaffold	3	284116		32.5	200	55	48	98.9	0.39	v1.2.3	PRJNA1067537	
GCF_036321725.1	Staphylococcus aureus	Homo sapiens	laboratory				2896	Best-placed reference protein set; GeneMarkS-2+	CLCbio v. 12	SAMN39529698	USA300_WT			Scaffold	5	201602		32.5	200	37	31	97.99	0.39	v1.2.3	PRJNA1067537	
GCF_036490635.1	Staphylococcus aureus		Meat industry				2739	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN37311288	IPLA16			Complete Genome	1	2749807		33	30	1	1	97.63	0.58	v1.2.3	PRJNA1013812	
GCF_036492515.1	Staphylococcus aureus		Meat industry				2790	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.14.1	SAMN37311287	IPLA15			Complete Genome	1	2781582		33	30	2	2	98.57	0.39	v1.2.3	PRJNA1013812	
GCF_036670045.1	Staphylococcus aureus	Homo sapiens	Not collected				2772	Best-placed reference protein set; GeneMarkS-2+	Unicycler or Flye + medaka + Polypolish, SPAdes v. v0.4.8, v2.9.1, v1.6.0, v0.5.0, 3.15.3	SAMN38170763	DA70870			Complete Genome	1	2801154		32.5	616.906	1	1	98.16	0.54	v1.2.3	PRJNA1036259	
GCF_036670055.1	Staphylococcus aureus	Homo sapiens	blood sample				2721	Best-placed reference protein set; GeneMarkS-2+	Unicycler or Flye + medaka + Polypolish, SPAdes v. v0.4.8, v2.9.1, v1.6.0, v0.5.0, 3.15.3	SAMN38170762	DA70520			Complete Genome	1	2737844		33	545.194	1	1	98.71	0.39	v1.2.3	PRJNA1036259	
GCF_036670065.1	Staphylococcus aureus	Homo sapiens	blood sample				2766	Best-placed reference protein set; GeneMarkS-2+	Unicycler or Flye + medaka + Polypolish, SPAdes v. v0.4.8, v2.9.1, v1.6.0, v0.5.0, 3.15.3	SAMN38170761	DA70518			Complete Genome	1	2770550		33	545.3	1	1	97.94	0.62	v1.2.3	PRJNA1036259	
GCF_036670075.1	Staphylococcus aureus	Homo sapiens	superficial wound				2718	Best-placed reference protein set; GeneMarkS-2+	Unicycler or Flye + medaka + Polypolish, SPAdes v. v0.4.8, v2.9.1, v1.6.0, v0.5.0, 3.15.3	SAMN38170760	DA70504			Complete Genome	1	2729011		33	545.081	2	2	98.01	0.62	v1.2.3	PRJNA1036259	
GCF_036670105.1	Staphylococcus aureus	Homo sapiens	Not collected				2796	Best-placed reference protein set; GeneMarkS-2+	Unicycler or Flye + medaka + Polypolish, SPAdes v. v0.4.8, v2.9.1, v1.6.0, v0.5.0, 3.15.3	SAMN38170758	DA70300			Complete Genome	1	2827302		33	545.682	1	1	97.97	0.68	v1.2.3	PRJNA1036259	
GCF_036670115.1	Staphylococcus aureus	Homo sapiens	Not collected				2760	Best-placed reference protein set; GeneMarkS-2+	Unicycler or Flye + medaka + Polypolish, SPAdes v. v0.4.8, v2.9.1, v1.6.0, v0.5.0, 3.15.3	SAMN38170757	DA70900			Complete Genome	1	2755264		33	546.831	2	2	98.26	0.39	v1.2.3	PRJNA1036259	
GCF_036670125.1	Staphylococcus aureus	Homo sapiens	wound				2721	Best-placed reference protein set; GeneMarkS-2+	Unicycler or Flye + medaka + Polypolish, SPAdes v. v0.4.8, v2.9.1, v1.6.0, v0.5.0, 3.15.3	SAMN38170756	DA70710			Complete Genome	1	2745423		33	545.158	1	1	97.75	0.56	v1.2.3	PRJNA1036259	
GCF_036670135.1	Staphylococcus aureus	Homo sapiens	superficial wound				2795	Best-placed reference protein set; GeneMarkS-2+	Unicycler or Flye + medaka + Polypolish, SPAdes v. v0.4.8, v2.9.1, v1.6.0, v0.5.0, 3.15.3	SAMN38170755	DA70500			Complete Genome	1	2776253		33	438.178	1	1	97.78	0.39	v1.2.3	PRJNA1036259	
GCF_036670145.1	Staphylococcus aureus	Homo sapiens	superficial wound				2870	Best-placed reference protein set; GeneMarkS-2+	Unicycler or Flye + medaka + Polypolish, SPAdes v. v0.4.8, v2.9.1, v1.6.0, v0.5.0, 3.15.3	SAMN38170759	DA70484			Complete Genome	1	2869959		33	439.556	1	1	97.44	0.68	v1.2.3	PRJNA1036259	
GCF_036689715.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0631. Other isolates from this patient: BSN57-2		2987	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637648	BSN57			Complete Genome	1	2919419		33	171	2	2	98.13	0.39	v1.2.4	PRJNA1048360	
GCF_036697825.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0598. Other isolates from this patient: BSN25-2		2887	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN39942299	BSN25			Complete Genome	1	2856082		33	95	2	2	97.05	0.58	v1.2.4	PRJNA1048360	
GCF_036867125.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0599. Other isolates from this patient: BSN31-2, BSN31-4		2805	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN39958768	BSN31			Complete Genome	1	2791198		33	100	2	2	98.69	0.39	v1.2.3	PRJNA1048360	
GCF_036867165.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0600. Other isolates from this patient: BSN31, BSN31-4		2811	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN39958769	BSN31-2			Complete Genome	1	2791376		33	100	2	2	98.69	0.39	v1.2.3	PRJNA1048360	
GCF_036898235.1	Staphylococcus aureus	Cow	Milk from mastitic cow				2691	Best-placed reference protein set; GeneMarkS-2+	Spades v. 3.14.1	SAMN37311286	Sa9			Complete Genome	1	2708529		33	30	1	1	97.19	0.39	v1.2.3	PRJNA1013812	
GCF_036961545.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0714		2819	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38637651	BSN65			Complete Genome	1	2805849		33	182	2	2	98.42	1.27	v1.2.3	PRJNA1048360	
GCF_037039295.1	Staphylococcus aureus	Homo sapiens	Medical sample				3236	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9	SAMN39984696	KWT 2020-26218			Complete Genome	1	3118776		33	122	3	3	97.46	0.67	v1.2.3	PRJNA1077908	
GCF_037039325.1	Staphylococcus aureus	Homo sapiens	Medical sample				3148	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9	SAMN39984694	KWT 2016-Z4326			Complete Genome	1	3064103		33	118	2	2	97.08	0.47	v1.2.3	PRJNA1077908	
GCF_037039335.1	Staphylococcus aureus	Homo sapiens	Medical sample				3204	Best-placed reference protein set; GeneMarkS-2+	Flye v. 2.9	SAMN39984695	KWT 2019-23549			Complete Genome	1	3116088		33	165	2	2	96.54	0.67	v1.2.3	PRJNA1077908	
GCF_037045965.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0736		2687	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38637672	BSN84			Complete Genome	1	2725840		33	186	1	1	98.86	0.39	v1.2.4	PRJNA1048360	
GCF_037045985.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0732		2998	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38637668	BSN80			Complete Genome	1	2925870		33	112	4	4	97.79	0.39	v1.2.3	PRJNA1048360	
GCF_037046245.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0539		2962	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. FEB-2024	SAMN38637630	BSN30			Complete Genome	1	2919719		33	136	1	1	97.96	0.39	v1.2.3	PRJNA1048360	
GCF_037046385.2	Staphylococcus aureus	Homo sapiens	blood		alias: B0720		2722	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. MAY-2024	SAMN38637654	BSN68			Complete Genome	1	2724920		33	166	2	2	98.82	0.39	v1.2.3	PRJNA1048360	
